url,name,identifier
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A03.html,三大都市圏計画区域,A03
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A09.html,都市地域,A09
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A10-v3_1.html,自然公園地域,A10
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A11.html,自然保全地域,A11
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A12.html,農業地域,A12
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A13.html,森林地域,A13
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A15.html,鳥獣保護区,A15
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A16.html,DID人口集中地区,A16
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-v4_0.html,過疎地域,A17
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A18-v4_0.html,半島振興対策実施地域,A18
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A18s-a.html,半島振興対策実施地域統計情報,A18s-a
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A19.html,離島振興対策実施地域,A19
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A19s.html,離島振興対策実施地域統計情報,A19s
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20.html,奄美群島,A20
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,奄美群島統計情報,A20s
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A21.html,小笠原諸島,A21
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A21s.html,小笠原諸島統計情報,A21s
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22.html,豪雪地帯,A22
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-m.html,豪雪地帯(気象データ),A22-m
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22s.html,豪雪地帯統計情報,A22s
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A23-v3_0.html,特殊土壌地帯,A23
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A24.html,振興山村,A24
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A25.html,特定農山村地域,A25
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A26.html,土砂災害危険箇所,A26
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A27-v2_1.html,小学校区,A27
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A28.html,世界自然遺産,A28
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29.html,用途地域,A29
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A30a5.html,土砂災害・雪崩メッシュ,A30a5
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A30b.html,竜巻等の突風等,A30b
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A31.html,浸水想定区域,A31
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A32-v2_0.html,中学校区,A32
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A33-v1_3.html,土砂災害警戒区域,A33
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A34-v1_2.html,世界文化遺産,A34
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35a.html,景観計画区域,A35a
