identifier,title,field,year,areaType,areaCode,datum,zipFileUrl,zipFileSize
A03,三大都市圏計画区域,政策区域,2003,2,100,2,http://nlftp.mlit.go.jp/ksj/gml/data/A03/A03-03/A03-03_SYUTO-tky_GML.zip,6.63MB
A03,三大都市圏計画区域,政策区域,2003,2,200,2,http://nlftp.mlit.go.jp/ksj/gml/data/A03/A03-03/A03-03_CHUBU-tky_GML.zip,11.54MB
A03,三大都市圏計画区域,政策区域,2003,2,300,2,http://nlftp.mlit.go.jp/ksj/gml/data/A03/A03-03/A03-03_KINKI-tky_GML.zip,8.78MB
A09,都市地域,国土（水・土地）,2006,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_01_GML.zip,2.82MB
A09,都市地域,国土（水・土地）,2006,3,2,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_02_GML.zip,0.85MB
A09,都市地域,国土（水・土地）,2006,3,3,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_03_GML.zip,0.96MB
A09,都市地域,国土（水・土地）,2006,3,4,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_04_GML.zip,1.17MB
A09,都市地域,国土（水・土地）,2006,3,5,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_05_GML.zip,0.74MB
A09,都市地域,国土（水・土地）,2006,3,6,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_06_GML.zip,0.86MB
A09,都市地域,国土（水・土地）,2006,3,7,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_07_GML.zip,1.87MB
A09,都市地域,国土（水・土地）,2006,3,8,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_08_GML.zip,2.07MB
A09,都市地域,国土（水・土地）,2006,3,9,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_09_GML.zip,1.03MB
A09,都市地域,国土（水・土地）,2006,3,10,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_10_GML.zip,1.13MB
A09,都市地域,国土（水・土地）,2006,3,11,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_11_GML.zip,0.98MB
A09,都市地域,国土（水・土地）,2006,3,12,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_12_GML.zip,1.29MB
A09,都市地域,国土（水・土地）,2006,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_13_GML.zip,1.38MB
A09,都市地域,国土（水・土地）,2006,3,14,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_14_GML.zip,2.59MB
A09,都市地域,国土（水・土地）,2006,3,15,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_15_GML.zip,1.14MB
A09,都市地域,国土（水・土地）,2006,3,16,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_16_GML.zip,0.56MB
A09,都市地域,国土（水・土地）,2006,3,17,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_17_GML.zip,0.63MB
A09,都市地域,国土（水・土地）,2006,3,18,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_18_GML.zip,0.47MB
A09,都市地域,国土（水・土地）,2006,3,19,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_19_GML.zip,0.31MB
A09,都市地域,国土（水・土地）,2006,3,20,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_20_GML.zip,1.22MB
A09,都市地域,国土（水・土地）,2006,3,21,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_21_GML.zip,0.65MB
A09,都市地域,国土（水・土地）,2006,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_22_GML.zip,1.77MB
A09,都市地域,国土（水・土地）,2006,3,23,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_23_GML.zip,1.15MB
A09,都市地域,国土（水・土地）,2006,3,24,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_24_GML.zip,1.29MB
A09,都市地域,国土（水・土地）,2006,3,25,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_25_GML.zip,0.93MB
A09,都市地域,国土（水・土地）,2006,3,26,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_26_GML.zip,1.06MB
A09,都市地域,国土（水・土地）,2006,3,27,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_27_GML.zip,1.19MB
A09,都市地域,国土（水・土地）,2006,3,28,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_28_GML.zip,1.82MB
A09,都市地域,国土（水・土地）,2006,3,29,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_29_GML.zip,0.74MB
A09,都市地域,国土（水・土地）,2006,3,30,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_30_GML.zip,0.71MB
A09,都市地域,国土（水・土地）,2006,3,31,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_31_GML.zip,0.45MB
A09,都市地域,国土（水・土地）,2006,3,32,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_32_GML.zip,0.68MB
A09,都市地域,国土（水・土地）,2006,3,33,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_33_GML.zip,1.17MB
A09,都市地域,国土（水・土地）,2006,3,34,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_34_GML.zip,2.09MB
A09,都市地域,国土（水・土地）,2006,3,35,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_35_GML.zip,1.53MB
A09,都市地域,国土（水・土地）,2006,3,36,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_36_GML.zip,0.33MB
A09,都市地域,国土（水・土地）,2006,3,37,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_37_GML.zip,0.39MB
A09,都市地域,国土（水・土地）,2006,3,38,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_38_GML.zip,1.13MB
A09,都市地域,国土（水・土地）,2006,3,39,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_39_GML.zip,0.64MB
A09,都市地域,国土（水・土地）,2006,3,40,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_40_GML.zip,2.38MB
A09,都市地域,国土（水・土地）,2006,3,41,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_41_GML.zip,0.44MB
A09,都市地域,国土（水・土地）,2006,3,42,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_42_GML.zip,2.20MB
A09,都市地域,国土（水・土地）,2006,3,43,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_43_GML.zip,0.61MB
A09,都市地域,国土（水・土地）,2006,3,44,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_44_GML.zip,0.90MB
A09,都市地域,国土（水・土地）,2006,3,45,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_45_GML.zip,0.95MB
A09,都市地域,国土（水・土地）,2006,3,46,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_46_GML.zip,1.08MB
A09,都市地域,国土（水・土地）,2006,3,47,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_47_GML.zip,0.81MB
A09,都市地域,国土（水・土地）,2011,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_01_GML.zip,2.97MB
A09,都市地域,国土（水・土地）,2011,3,2,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_02_GML.zip,0.91MB
A09,都市地域,国土（水・土地）,2011,3,3,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_03_GML.zip,0.82MB
A09,都市地域,国土（水・土地）,2011,3,4,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_04_GML.zip,1.06MB
A09,都市地域,国土（水・土地）,2011,3,5,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_05_GML.zip,0.67MB
A09,都市地域,国土（水・土地）,2011,3,6,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_06_GML.zip,0.90MB
A09,都市地域,国土（水・土地）,2011,3,7,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_07_GML.zip,1.69MB
A09,都市地域,国土（水・土地）,2011,3,8,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_08_GML.zip,1.69MB
A09,都市地域,国土（水・土地）,2011,3,9,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_09_GML.zip,0.92MB
A09,都市地域,国土（水・土地）,2011,3,10,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_10_GML.zip,1.13MB
